Observer point at r[822]=1.000358e+00 AU
   time           vr          rho         temp           Bp          prs
0.000000e+00 3.000000e+02 5.000000e+02 1.250000e+06 1.000000e+03 8.660909e+06
1.000000e-07 2.999998e+02 4.999700e+02 1.249963e+06 9.999700e+02 8.660130e+06
2.100000e-07 2.999996e+02 4.999370e+02 1.249921e+06 9.999370e+02 8.659273e+06
3.310000e-07 2.999993e+02 4.999007e+02 1.249876e+06 9.999007e+02 8.658330e+06
4.641000e-07 2.999991e+02 4.998608e+02 1.249826e+06 9.998608e+02 8.657293e+06
6.105100e-07 2.999988e+02 4.998169e+02 1.249771e+06 9.998169e+02 8.656153e+06
7.715610e-07 2.999985e+02 4.997686e+02 1.249711e+06 9.997686e+02 8.654898e+06
9.487171e-07 2.999981e+02 4.997155e+02 1.249644e+06 9.997155e+02 8.653519e+06
1.143589e-06 2.999977e+02 4.996571e+02 1.249571e+06 9.996570e+02 8.652001e+06
1.357948e-06 2.999973e+02 4.995928e+02 1.249491e+06 9.995928e+02 8.650332e+06
1.593742e-06 2.999968e+02 4.995222e+02 1.249403e+06 9.995220e+02 8.648497e+06
1.853117e-06 2.999963e+02 4.994444e+02 1.249305e+06 9.994443e+02 8.646478e+06
2.138428e-06 2.999957e+02 4.993589e+02 1.249198e+06 9.993587e+02 8.644257e+06
2.452271e-06 2.999950e+02 4.992649e+02 1.249081e+06 9.992646e+02 8.641815e+06
2.797498e-06 2.999943e+02 4.991614e+02 1.248951e+06 9.991611e+02 8.639129e+06
3.177248e-06 2.999936e+02 4.990476e+02 1.248809e+06 9.990472e+02 8.636176e+06
3.594973e-06 2.999927e+02 4.989225e+02 1.248652e+06 9.989219e+02 8.632927e+06
4.054470e-06 2.999918e+02 4.987848e+02 1.248480e+06 9.987841e+02 8.629355e+06
4.559917e-06 2.999907e+02 4.986335e+02 1.248291e+06 9.986325e+02 8.625427e+06
5.115909e-06 2.999896e+02 4.984670e+02 1.248082e+06 9.984658e+02 8.621107e+06
5.727500e-06 2.999883e+02 4.982839e+02 1.247853e+06 9.982824e+02 8.616357e+06
6.400250e-06 2.999869e+02 4.980825e+02 1.247601e+06 9.980806e+02 8.611134e+06
7.140275e-06 2.999853e+02 4.978610e+02 1.247323e+06 9.978587e+02 8.605392e+06
7.954302e-06 2.999836e+02 4.976174e+02 1.247018e+06 9.976146e+02 8.599077e+06
8.849733e-06 2.999816e+02 4.973496e+02 1.246683e+06 9.973460e+02 8.592136e+06
9.789083e-06 2.999796e+02 4.970687e+02 1.246330e+06 9.970643e+02 8.584857e+06
1.072811e-05 2.999776e+02 4.967880e+02 1.245978e+06 9.967827e+02 8.577586e+06
1.166688e-05 2.999755e+02 4.965074e+02 1.245627e+06 9.965012e+02 8.570320e+06
1.260547e-05 2.999735e+02 4.962269e+02 1.245275e+06 9.962197e+02 8.563060e+06
